赛事,主队,客队,主队进球,客队进球,亚盘水位,亚盘,赔率水位,胜,平,负,返还率
欧罗巴,马赛,萨茨堡,0,0,0.925,半球/一球,0.925,1.72,3.75,5.5,97.10%
欧罗巴,赫塔,厄斯松,1,1,1.04,半球,0.75,2.14,3.39,3.7,96.80%
欧罗巴,卢甘斯,毕尔巴,0,2,1.049,受半球,0.8,4.75,3.6,1.85,97.20%
欧罗巴,聚尔特,拉齐奥,3,2,1.04,平手,0.75,3.1,3.6,2.35,97.50%
欧罗巴,维迪斯,尼斯,1,0,0.97,半球,0.82,2.1,3.7,3.6,97.60%
欧罗巴,社会,泽尼特,1,3,0.85,半球/一球,1,1.66,4.33,5.25,97.70%
欧冠,曼联,莫陆军,2,1,0.75,一球,1.04,1.44,4.5,8.5,96.70%
欧冠,本菲卡,巴塞尔,0,2,1.089,平手,0.84,3,3.29,2.54,97.00%
欧冠,凯尔特,安德莱,0,1,0.94,半球,0.99,1.9,3.79,4.2,97.30%
欧冠,拜仁,日尔曼,3,1,0.86,平手,1.069,2.5,3.7,2.79,97.20%
欧冠,罗马,卡拉巴,1,0,1.109,两球半,0.82,1.11,11,26,97.10%
欧冠,切尔西,马竞技,1,1,0.81,平手/半球,1.125,2.1,3.7,3.6,97.60%
欧冠,巴萨,里斯本,2,0,1.1,球半,0.83,1.36,5.25,9.5,97.00%
欧冠,奥林匹,尤文,0,2,0.82,受一球/球半,1.109,9,4.5,1.44,97.30%
欧冠,利物浦,莫斯巴,7,0,0.8,两球,1,1.19,8,15,96.90%
欧冠,费耶诺,那不勒,2,1,0.77,受球半,1.02,8.5,5.25,1.39,97.30%
欧冠,矿工,曼城,2,1,0.99,平手,0.94,2.79,3.25,2.75,97.10%
欧冠,波尔图,摩纳哥,5,2,0.95,球半/两球,0.98,1.25,6.75,13,97.60%
欧冠,皇马,多特,3,2,0.919,一球/球半,1.009,1.44,5.25,7,97.30%
欧冠,热刺,希腊人,3,0,1.14,球半,0.8,1.36,5.25,9.5,97.00%
英超,伯恩茅,南安普,1,1,0.98,受平手/半球,0.95,3.39,3.29,2.35,97.60%
英超,曼城,西汉姆,2,1,0.85,两球半,1.08,1.11,12,26,97.80%
德甲,赫塔,法兰克,1,2,1.02,平手/半球,0.77,2.39,3.25,3.1,95.40%
德甲,沃尔夫,门兴,3,0,0.82,平手,1.109,2.39,3.39,2.79,93.30%
意甲,佛罗伦,萨索洛,3,0,1.1,一球,0.8,1.57,4.2,5.75,95.30%
意甲,博洛尼,卡利亚,1,1,0.85,平手/半球,1.049,2.1,3.29,3.75,95.50%
意甲,国米,切沃,5,0,1.029,一球/球半,0.87,1.39,4.75,8,94.80%
意甲,桑普多,拉齐奥,1,2,0.95,受半球,0.95,3.6,4,1.9,94.90%
西甲,赫塔费,巴伦西,1,0,0.96,受平手/半球,0.97,3.25,3.5,2.2,95.40%
西甲,埃瓦尔,西牙人,3,1,1.02,平手/半球,0.909,2.29,3.1,3.39,94.90%
西甲,拉斯帕,贝蒂斯,1,0,0.99,平手/半球,0.94,2.25,3.6,3,94.70%
法甲,埃蒂安,南特,1,1,0.87,平手/半球,1.06,2.14,3,4,95.20%
法甲,卡昂,里昂,1,2,0.81,受半球/一球,1.125,4.2,3.75,1.8,94.30%
法甲,蒙彼利,马赛,1,1,0.96,受平手/半球,0.97,3.39,3.29,2.2,94.90%
英超,布赖顿,利物浦,1,5,1,受一球,0.929,7,4.33,1.53,97.30%
英超,埃弗顿,哈德斯,2,0,0.87,半球,1.06,1.85,3.6,4.75,97.20%
英超,莱切城,伯恩利,1,0,1.06,半球,0.87,2.04,3.29,4.2,96.90%
英超,斯托克,斯旺西,2,1,0.8,半球,1.14,1.83,3.7,4.75,97.30%
英超,沃特福,热刺,1,1,1,受半球/一球,0.8,5.25,4.33,1.64,97.00%
英超,西布罗,水晶宫,0,0,0.86,平手,1.069,2.7,3.1,3,97.40%
英超,阿森纳,曼联,1,3,1.02,平手/半球,0.909,2.37,3.39,3.25,97.60%
德甲,勒沃,多特,1,1,0.99,平手/半球,0.94,2.14,3.79,3,93.90%
德甲,拜仁,汉诺威,3,1,0.889,两球半,1.04,1.08,11,26,94.80%
德甲,美因茨,奥格斯,1,3,0.85,受平手/半球,1.08,3.1,3.25,2.37,95.00%
德甲,霍芬,莱比锡,4,0,0.83,受半球,1.1,3.39,3.75,2.04,95.10%
德甲,不来梅,斯图加,1,0,0.94,平手/半球,0.99,2.2,3.5,3.29,95.80%
德甲,沙尔克,科隆,2,2,0.7,一球,1.1,1.39,4.75,8.5,95.50%
西甲,毕尔巴,皇马,0,0,0.889,受一球/球半,1.04,6.5,5,1.44,95.40%
德甲,弗赖堡,汉堡,0,0,0.919,平手,1.009,2.75,3.2,2.62,94.50%
德乙,海登,凯泽,3,2,0.75,平手/半球,1.04,2,3.29,3.75,93.40%
德乙,比勒费,圣保利,5,0,1,平手,0.85,3,3.2,2.39,94.00%
意甲,罗马,士柏,3,1,0.95,球半/两球,0.85,1.25,5.75,11,93.90%
意甲,那不勒,尤文,0,1,0.84,平手/半球,1.06,2.04,3.2,3.89,94.40%
西甲,马拉加,莱万特,0,0,0.82,半球,0.97,1.8,3.75,4.33,95.00%
法甲,第戎,波尔多,3,2,0.97,受平手/半球,0.96,3.29,3.2,2.29,95.00%
荷乙,坎布尔,特尔斯,2,1,0.95,半球/一球,0.899,1.72,4,4.33,94.10%
荷乙,格拉夫,阿克马B,1,0,0.6,一球/球半,1.29,1.3,5.5,9,94.10%
荷乙,登博思,前进鹰,3,0,0.975,半球,0.875,1.85,3.79,3.79,93.60%
荷乙,埃因FC,奥斯,1,3,1,一球/球半,0.8,1.44,4.5,6,92.30%
荷乙,福伦丹,阿尔城,1,1,0.899,半球/一球,0.95,1.7,3.75,5,94.80%
荷乙,马斯特,阿青年,0,4,0.95,平手,0.899,2.62,3.6,2.45,93.70%
荷乙,奈梅亨,多德勒,6,0,0.75,球半,1.04,1.28,5.75,9,93.80%
英超,伯恩茅,伯恩利,1,2,0.879,平手/半球,1.049,2.2,3.2,3.89,97.60%
英超,阿森纳,哈德斯,5,0,0.899,两球,1.029,1.19,7.5,17,96.90%
英超,切尔西,斯旺西,1,0,1.06,两球,0.87,1.19,7.5,17,96.90%
英超,埃弗顿,西汉姆,4,0,0.75,平手,1.04,2.45,3.25,3.25,97.70%
英超,曼城,南安普,2,1,1,球半/两球,0.929,1.22,7,15,97.20%
英超,斯托克,利物浦,0,3,0.99,受一球,0.94,6,4.5,1.57,97.50%
西班牙杯,拉斯帕,拉科鲁,2,3,1,平手/半球,0.85,2.29,3.5,2.87,93.40%
法甲,昂热,雷恩,1,2,1.109,半球,0.82,2.1,3.1,3.89,94.70%
法甲,甘冈,蒙彼利,0,0,1.02,平手,0.909,2.79,3.1,2.7,95.10%
法甲,梅斯,马赛,0,3,1,受一球,0.929,6,4.33,1.5,94.00%
法甲,南特,摩纳哥,1,0,0.72,受半球,1.07,3.79,3.29,2,93.70%
法甲,图卢兹,尼斯,1,2,0.94,平手,0.99,2.7,3.1,2.79,95.10%
法甲,里昂,里尔,1,2,0.98,球半,0.95,1.33,5.25,9,94.90%
法甲,日尔曼,特鲁瓦,2,0,0.86,三球半,1.069,1.04,17,34,95.30%
英超,布赖顿,水晶宫,0,0,0.889,平手,1.04,2.7,3.1,3,97.40%
英超,莱切城,热刺,2,1,0.879,受半球/一球,1.049,5.25,3.75,1.75,97.20%
英超,沃特福,曼联,2,4,0.899,受半球/一球,1.029,5.25,3.79,1.75,97.50%
英超,西布罗,纽卡,2,2,1.1,平手/半球,0.83,2.37,3.1,3.5,97.10%
法甲,斯特堡,卡昂,0,0,0.95,半球,0.85,1.9,3.39,4,93.30%
法甲,亚眠,第戎,2,1,1.125,平手/半球,0.81,2.29,3.2,3.25,94.60%
法甲,波尔多,埃蒂安,3,0,1.06,半球/一球,0.87,1.75,3.5,5,94.60%
法乙,阿雅GF,尼奥尔,0,2,0.82,平手/半球,0.97,2.04,3.25,3.75,93.90%
法乙,南锡,阿弗尔,0,3,0.95,平手/半球,0.899,2.29,3,3.39,93.90%
法乙,布尔格,奥尔良,4,0,1.049,平手/半球,0.8,2.29,3.2,3.1,93.30%
法乙,克莱蒙,布雷斯,1,2,1.024,平手/半球,0.825,2.29,3.1,3.2,93.30%
法乙,洛里昂,尼姆,1,2,0.77,平手/半球,1.02,2.04,3.39,3.6,94.10%
法乙,索肖,瓦朗谢,3,1,0.95,半球/一球,0.85,1.72,3.75,4.5,93.40%
法乙,沙托鲁,巴黎FC,0,0,0.975,平手,0.875,2.89,2.87,2.75,94.50%
英超,南安普,埃弗顿,4,1,1,半球/一球,0.8,1.85,3.6,4.75,97.20%
英超,伯恩利,阿森纳,0,1,0.95,受一球,0.98,6,4.2,1.6,97.10%
英超,哈德斯,曼城,1,2,0.8,受两球/两球半,1,19,8,1.18,97.60%
德甲,汉堡,霍芬,3,0,0.93,平手,1,2.45,3.5,2.87,95.90%
德甲,科隆,赫塔,0,2,0.72,受平手/半球,1.07,3.1,3.2,2.37,94.60%
意甲,AC米兰,都灵,0,0,0.99,半球/一球,0.91,1.72,3.75,4.75,94.50%
意甲,热那亚,罗马,1,1,0.97,受半球/一球,0.93,5,3.8,1.72,95.70%
意甲,乌迪内,那不勒,0,1,0.95,受球半,0.95,10,5.25,1.3,94.40%
意甲,拉齐奥,佛罗伦,1,1,0.92,半球/一球,0.98,1.65,4,5,94.70%
意甲,尤文,克罗托,3,0,0.85,两球,1.05,1.14,8,19,94.80%
西甲,巴伦西,巴萨,1,1,0.85,受一球,1.08,4.6,4.5,1.65,95.60%
西甲,比利亚,塞维利,2,3,0.86,平手/半球,1.07,2.05,3.4,3.5,93.70%
西甲,社会,拉斯帕,2,2,0.87,一球/球半,1.06,1.4,5.25,7,95.50%
法甲,摩纳哥,日尔曼,1,2,1.04,受一球/球半,0.89,7,5.25,1.36,93.60%
英超,水晶宫,斯托克,2,1,0.93,半球,1,1.95,3.6,4.2,97.20%
英超,曼联,布赖顿,1,0,0.97,两球,0.82,1.2,7,19,97.20%
英超,纽卡,沃特福,0,3,1.04,平手/半球,0.89,2.35,3.4,3.25,97.30%
英超,斯旺西,伯恩茅,0,0,1.13,平手,0.81,3,3.25,2.6,97.50%
英超,热刺,西布罗,1,1,0.88,球半/两球,1.05,1.22,7,15,97.20%
英超,利物浦,切尔西,1,1,0.86,平手/半球,1.07,2.15,3.6,3.5,97.20%
德甲,多特,沙尔克,4,4,1.02,一球,0.77,1.6,4.33,5.25,95.60%
德甲,法兰克,勒沃,0,1,0.84,平手,1.09,2.45,3.5,2.8,95.10%
德甲,奥格斯,沃尔夫,2,1,0.83,平手/半球,1.1,2.1,3.4,3.6,95.40%
德甲,莱比锡,不来梅,2,0,1.05,一球/球半,0.88,1.45,4.75,6.5,94.90%
德甲,弗赖堡,美因茨,2,1,0.87,平手/半球,1.06,2.05,3.3,3.6,93.60%
德甲,门兴,拜仁,2,1,0.98,受一球,0.95,5,4.33,1.6,94.70%
意甲,切沃,士柏,2,1,0.98,半球/一球,0.92,1.75,3.6,5,95.30%
意甲,卡利亚,国米,1,3,1.02,受半球/一球,0.88,4.75,4,1.65,93.80%
英超,西汉姆,莱切城,1,1,1.04,平手,0.89,2.8,3.25,2.75,97.20%
德甲,汉诺威,斯图加,1,1,1.11,平手/半球,0.82,2.37,3.4,3,95.30%
德乙,柏林联,达姆施,3,3,0.85,一球,1,1.5,4.1,6.5,93.90%
德乙,桑德豪,海登,1,2,0.95,平手/半球,0.9,2.2,3.25,3.25,93.50%
法甲,埃蒂安,斯特堡,2,2,1,半球,0.93,1.9,3.5,4.2,95.20%
法乙,阿雅克,兰斯,0,1,0.88,受平手/半球,0.98,3.2,3.2,2.3,94.40%
法乙,欧塞尔,南锡,1,1,1.1,平手/半球,0.77,2.37,3,3.2,93.70%
法乙,尼奥尔,沙托鲁,2,1,0.93,半球,0.93,1.9,3.3,4.2,93.70%
法乙,尼姆,布尔格,4,0,0.95,球半,0.9,1.33,5,9,94.10%
法乙,布雷斯,索肖,1,0,0.8,平手/半球,1.05,2.05,3.4,3.5,93.70%
法乙,图尔,阿雅GF,1,2,0.85,平手/半球,1,2.15,3.1,3.6,93.90%
法乙,奥尔良,克莱蒙,1,2,0.8,受平手/半球,1.05,3.1,3.1,2.37,93.70%
法乙,瓦朗谢,洛里昂,4,2,0.85,受半球,1,3.6,3.6,1.95,93.60%
法乙,巴黎FC,奎维利,2,0,0.85,半球,1,1.8,3.3,4.75,93.50%
欧罗巴,阿斯塔,比利亚,2,3,0.95,受平手/半球,0.9,3.5,3.3,2.3,97.70%
欧罗巴,科隆,阿森纳,1,0,0.93,受平手/半球,0.93,3.2,3.6,2.3,97.60%
欧罗巴,巴特,红星,0,0,0.98,平手,0.88,2.8,3.3,2.75,97.70%
欧罗巴,毕尔巴,赫塔,3,2,1.05,一球,0.8,1.61,3.9,6.5,97.00%
欧罗巴,尼斯,聚尔特,3,1,0.85,一球/球半,1,1.44,4.75,8.5,97.80%
欧罗巴,拉齐奥,维迪斯,1,1,0.83,一球,1.02,1.61,4.2,6,97.50%
欧罗巴,泽尼特,瓦尔达,2,1,0.85,两球半/三球,0.95,1.1,12,29,97.40%
欧罗巴,罗森博,社会,0,1,1.08,受半球/一球,0.82,5.25,4,1.7,97.20%
欧罗巴,科尼亚,马赛,1,1,0.95,受半球,0.9,4.5,3.6,1.9,97.40%
欧罗巴,布拉加,霍芬,3,1,0.93,受平手/半球,0.93,3.2,3.75,2.25,97.70%
欧罗巴,AC米兰,维也纳,5,1,0.88,两球,0.98,1.22,7,15,97.20%
欧罗巴,埃弗顿,亚特兰,1,5,0.93,受平手/半球,0.93,3.5,3.5,2.2,97.50%
欧罗巴,里昂,阿波罗,4,0,0.93,两球,0.93,1.22,7,15,97.20%
欧罗巴,莫火车,哥本哈,2,1,1.05,半球/一球,0.85,1.85,3.5,5,97.40%
欧冠,贝西克,波尔图,1,1,0.78,受平手/半球,1.16,3.1,3.1,2.6,97.10%
欧冠,塞维利,利物浦,3,3,0.909,受平手/半球,1.02,3,3.6,2.39,97.10%
欧冠,曼城,费耶诺,1,0,0.98,两球半/三球,0.95,1.1,12,29,97.40%
欧冠,那不勒,矿工,3,0,1,一球/球半,0.929,1.44,5,7.5,97.30%
欧冠,摩纳哥,莱比锡,1,4,0.95,平手,0.98,2.6,3.7,2.7,97.50%
欧冠,希腊人,皇马,0,6,0.85,受两球半,0.95,23,9,1.14,96.90%
欧冠,多特,热刺,1,2,1.06,半球,0.87,2.04,4.09,3.39,97.10%
欧冠,莫陆军,本菲卡,2,0,0.83,平手/半球,1.1,2.1,3.5,3.75,97.20%
欧冠,卡拉巴,切尔西,0,4,0.77,受球半/两球,1.02,13,5.75,1.3,98.00%
欧冠,巴塞尔,曼联,1,0,1,受半球,0.929,4.33,3.5,1.95,97.10%
欧冠,日尔曼,凯尔特,7,1,0.96,两球半/三球,0.97,1.1,13,23,97.10%
欧冠,安德莱,拜仁,1,2,1.009,受球半/两球,0.919,11,6.5,1.28,97.50%
欧冠,马竞技,罗马,2,0,0.96,半球,0.97,1.9,3.5,4.59,97.10%
欧冠,尤文,巴萨,0,0,1.16,平手,0.78,3.1,3.29,2.5,97.40%
德甲,沙尔克,汉堡,2,0,0.72,半球,1.07,1.66,3.75,5.5,95.20%
德甲,不来梅,汉诺威,4,0,0.899,平手/半球,1.029,2.2,3.39,3.29,94.90%
意甲,都灵,切沃,1,1,0.99,半球/一球,0.94,1.75,3.79,4.5,94.60%
意甲,士柏,佛罗伦,1,1,0.929,受半球,1,3.89,3.6,1.95,95.50%
意甲,桑普多,尤文,3,2,0.899,受一球,1.029,6.5,4,1.55,95.30%
意甲,乌迪内,卡利亚,0,1,0.99,半球,0.94,1.9,3.6,3.79,93.60%
意甲,贝内文,萨索洛,1,2,0.83,受平手/半球,1.1,3.25,3.39,2.2,94.60%
意甲,国米,亚特兰,2,0,0.889,半球,1.04,1.8,3.5,4.75,95.10%
西甲,毕尔巴,比利亚,1,1,0.909,平手/半球,1.02,2.1,3.39,3.39,93.80%
西甲,西牙人,巴伦西,0,2,0.899,平手,1.029,2.62,3.29,2.62,93.70%
西甲,拉斯帕,莱万特,0,2,0.889,半球/一球,1.04,1.61,4,5,93.40%
法甲,卡昂,尼斯,1,1,0.85,平手,1.08,2.6,3.1,2.89,94.90%
法甲,里昂,蒙彼利,0,0,0.97,一球,0.96,1.55,4,6.5,95.30%
法甲,波尔多,马赛,1,1,0.94,平手/半球,0.99,2.14,3.39,3.29,93.80%
英超,伯恩茅,哈德斯,4,0,1.029,半球/一球,0.87,1.8,3.6,5.25,97.70%
英超,伯恩利,斯旺西,2,0,0.97,平手/半球,0.929,2.35,3,3.75,97.50%
英超,水晶宫,埃弗顿,2,2,1.04,平手/半球,1.029,2.25,3.25,3.6,97.10%
英超,莱切城,曼城,0,2,0.879,受球半,1.02,8.5,5.75,1.36,97.40%
英超,利物浦,南安普,3,0,0.889,一球/球半,1.009,1.44,5,7.5,97.30%
英超,西布罗,切尔西,0,4,0.98,受一球,0.919,7,4.09,1.57,97.60%
英超,曼联,纽卡,4,1,0.879,球半,1.02,1.28,5.75,13,96.90%
德甲,勒沃,莱比锡,2,2,1.049,平手/半球,0.879,2.25,3.7,3,95.40%
德甲,拜仁,奥格斯,3,0,1,两球/两球半,0.8,1.18,7.5,15,95.50%
德甲,美因茨,科隆,1,0,0.899,半球,1.029,1.9,3.6,4,94.90%
德甲,霍芬,法兰克,1,1,0.97,平手/半球,0.96,2.1,3.5,3.2,93.10%
德甲,沃尔夫,弗赖堡,3,1,1.04,一球,0.75,1.66,3.75,5.5,95.20%
德甲,赫塔,门兴,2,4,0.86,受平手/半球,1.069,3,3.39,2.35,94.90%
意甲,罗马,拉齐奥,2,1,0.929,平手/半球,1,2.14,3.5,3.39,95.40%
德甲,斯图加,多特,2,1,0.85,受半球/一球,1.08,4.2,4.2,1.75,95.50%
德乙,比勒费,不伦瑞,2,2,0.875,平手,0.975,2.54,3.29,2.7,93.60%
德乙,达姆施,桑德豪,1,2,0.75,平手,1.04,2.45,3.25,2.89,94.20%
西甲,赫罗纳,社会,1,1,1.06,平手,0.87,2.87,3.5,2.39,95.00%
法甲,里尔,埃蒂安,3,1,1.04,半球,0.75,2.14,3.25,3.6,95.00%
法甲,亚眠,摩纳哥,1,1,1.02,受半球/一球,0.909,5.25,3.79,1.66,94.60%
法乙,阿雅GF,阿弗尔,1,1,0.975,平手,0.875,2.79,3,2.7,94.20%
法乙,南锡,阿雅克,2,2,0.899,平手/半球,0.95,2.14,3.1,3.7,94.30%
法乙,布尔格,瓦朗谢,1,3,1.024,平手/半球,0.825,2.35,3.25,3,93.80%
法乙,克莱蒙,欧塞尔,1,0,0.95,半球,0.899,1.9,3.2,4.33,93.50%
法乙,索肖,尼姆,2,1,0.975,平手,0.875,2.62,3.29,2.6,93.40%
法乙,沙托鲁,图尔,1,0,0.95,平手/半球,0.899,2.2,3.25,3.29,93.80%
法乙,奎维利,奥尔良,1,0,1.1,平手/半球,0.7,2.5,3.2,2.87,94.30%
法乙,兰斯,巴黎FC,1,1,1,半球/一球,0.85,1.72,3.39,5.25,93.70%
友谊赛,芬兰,爱沙尼,3,0,0.72,半球,1.07,1.72,3.29,5.5,93.70%
友谊赛,罗马尼,土耳其,2,0,1.024,平手/半球,0.825,2.29,3.2,3.2,94.20%
友谊赛,苏格兰,荷兰,0,1,0.899,受半球,0.95,4.2,3.6,1.95,97.20%
友谊赛,日本,巴西,1,3,1.024,受球半/两球,0.825,13,6,1.22,94.10%
友谊赛,乌克兰,斯洛伐,2,1,1.049,半球,0.8,2,3.2,3.89,93.50%
友谊赛,波兰,乌拉圭,0,0,0.899,平手,0.95,2.62,3.2,2.75,94.50%
友谊赛,比利时,墨西哥,3,3,0.77,一球,1.02,1.5,4.2,6.5,94.50%
友谊赛,英格兰,德国,0,0,0.95,受半球,0.899,4.2,3.6,1.95,97.20%
友谊赛,法国,威尔士,2,0,1,球半/两球,0.85,1.25,6,17,97.50%
友谊赛,中国,塞尔维,0,2,0.925,受半球/一球,0.925,5.25,3.39,1.72,93.70%
世外欧洲,北爱,瑞士,0,1,1.069,受平手/半球,0.86,4.09,3,2.25,97.80%
世外欧洲,克罗地,希腊,4,1,1.109,一球/球半,0.82,1.39,4.33,12,96.70%
世外欧洲,瑞典,意大利,1,0,1.04,受平手/半球,0.889,3.75,3.1,2.29,97.50%
世外北美,洪都拉,澳大利,0,0,0.95,平手/半球,0.85,2.37,3.1,3.6,97.80%
英超,哈德斯,西布罗,1,0,1.029,平手,0.899,2.89,3,2.87,97.30%
英超,纽卡,伯恩茅,0,1,0.83,半球,1.1,1.85,3.6,4.75,97.20%
英超,南安普,伯恩利,0,1,0.879,半球/一球,1.049,1.66,3.7,6.5,97.40%
英超,斯旺西,布赖顿,0,1,0.72,平手,1.07,2.6,3,3.25,97.50%
英超,西汉姆,利物浦,1,4,1.049,受一球,0.879,6.5,4.5,1.53,97.10%
德甲,门兴,美因茨,1,1,1.02,一球,0.909,1.57,4.2,5.75,95.30%
德甲,奥格斯,勒沃,1,1,1.04,受平手/半球,0.889,3.39,3.75,2.04,95.10%
德甲,汉堡,斯图加,3,1,1.04,平手,0.889,2.79,3.25,2.6,95.20%
德甲,莱比锡,汉诺威,2,1,1.125,一球/球半,0.81,1.5,4.33,6.5,95.10%
德甲,弗赖堡,沙尔克,0,1,0.929,受半球,1,3.79,3.5,2,95.30%
德甲,多特,拜仁,1,3,0.96,受半球,0.97,3.6,4,1.9,94.90%
西甲,拉科鲁,马竞技,0,1,0.95,受半球/一球,0.98,5.5,3.5,1.7,94.70%
西甲,阿拉维,西牙人,1,0,0.929,平手,1,2.7,3,2.79,94.20%
西甲,巴萨,塞维利,2,1,1.04,两球,0.889,1.22,7,10,94.10%
德甲,法兰克,不来梅,2,1,1.049,半球/一球,0.879,1.75,3.75,4.75,95.40%
德乙,凯泽,波鸿,0,0,0.825,受平手/半球,1.024,3,3.25,2.35,93.80%
德乙,桑德豪,杜伊斯,0,1,1.1,平手/半球,0.774,2.45,3.2,2.89,93.70%
西甲,贝蒂斯,赫塔费,2,2,1.06,半球,0.87,2,3.6,3.5,94.00%
法甲,雷恩,波尔多,1,0,0.899,受平手/半球,1.029,3.29,3.2,2.29,95.00%
法乙,阿雅克,沙托鲁,1,2,0.975,半球/一球,0.875,1.7,3.6,5,93.80%
法乙,欧塞尔,阿雅GF,0,1,0.925,平手/半球,0.925,2.25,3,3.5,94.00%
法乙,尼奥尔,克莱蒙,1,1,1.024,平手/半球,0.825,2.37,3.29,2.89,93.30%
法乙,尼姆,奎维利,4,1,0.899,一球/球半,0.95,1.36,5,8,94.30%
法乙,图尔,布尔格,3,2,1,半球,0.85,2,3.39,3.75,94.20%
法乙,奥尔良,索肖,3,3,0.875,平手,0.975,2.54,3.1,2.87,93.90%
法乙,瓦朗谢,布雷斯,0,0,0.899,受平手/半球,0.95,3.2,3.2,2.29,94.20%
法乙,巴黎FC,洛里昂,1,1,0.95,受平手/半球,0.899,3.5,3.2,2.14,93.90%
荷甲,鹿特丹,海伦芬,0,0,0.96,受平手/半球,0.94,3.1,3.6,2.14,93.70%
欧罗巴,斯拉维,比利亚,0,2,0.825,受平手/半球,1.024,3.2,3.29,2.45,97.60%
欧罗巴,卢多戈,布拉加,1,1,1,半球,0.8,2.1,3.29,4,97.10%
欧罗巴,伊斯坦,霍芬,1,1,1.024,受半球,0.825,4.2,4,1.85,97.20%
欧罗巴,雅典,AC米兰,0,0,0.875,受平手/半球,0.975,3.5,3.1,2.37,97.10%
欧罗巴,阿波罗,亚特兰,1,1,1.07,受半球/一球,0.72,6.25,4.2,1.6,97.70%
欧罗巴,里昂,埃弗顿,3,0,0.8,一球,1,1.44,4.75,8,97.10%
欧罗巴,科隆,巴特,5,2,0.95,半球/一球,0.899,1.8,3.6,5.25,97.70%
欧罗巴,阿森纳,红星,0,0,0.825,一球,1.024,1.5,4.5,7.5,97.80%
欧罗巴,吉马良,马赛,1,0,1.024,受半球,0.825,4.59,3.75,1.85,97.60%
欧罗巴,毕尔巴,厄斯松,1,0,0.72,一球/球半,1.07,1.35,5.5,10,97.80%
欧罗巴,赫塔,卢甘斯,2,0,0.95,半球,0.899,1.9,3.39,4.75,96.90%
欧罗巴,拉齐奥,尼斯,1,0,0.72,一球,1.07,1.5,4.5,7.5,97.80%
欧罗巴,社会,瓦尔达,3,0,0.97,三球,0.82,1.07,14,41,97.00%
欧罗巴,罗森博,泽尼特,1,1,1.024,受半球,0.825,4.4,3.89,1.85,97.60%
欧冠,曼联,本菲卡,2,0,1.08,一球/球半,0.85,1.39,4.75,10,97.10%
欧冠,凯尔特,拜仁,1,2,0.929,受球半,1,9,5.5,1.36,97.30%
欧冠,日尔曼,安德莱,5,0,1.08,三球/三球半,0.85,1.07,15,41,97.50%
欧冠,罗马,切尔西,3,0,0.879,平手,1.049,2.54,3.5,2.87,97.30%
欧冠,马竞技,卡拉巴,1,1,0.909,两球,1.02,1.14,8.5,29,97.20%
欧冠,奥林匹,巴萨,0,0,0.85,受两球,1.08,15,7,1.22,97.20%
欧冠,里斯本,尤文,1,1,1.109,受半球,0.82,5.25,3.6,1.8,97.70%
欧冠,贝西克,摩纳哥,1,1,1.14,平手/半球,0.8,2.5,3.5,2.95,97.60%
欧冠,塞维利,莫斯巴,2,1,0.96,球半,0.97,1.36,5.59,8.5,96.90%
欧冠,利物浦,马里博,3,0,1.04,三球/三球半,0.889,1.06,17,34,96.90%
欧冠,那不勒,曼城,2,4,0.85,平手,1.08,2.5,3.6,2.87,97.40%
欧冠,波尔图,莱比锡,3,1,0.85,平手/半球,1.08,2.14,3.6,3.5,97.00%
欧冠,多特,希腊人,1,1,0.919,两球半/三球,1.009,1.1,11,34,97.10%
欧冠,热刺,皇马,3,1,1.1,平手,0.7,3.1,3.5,2.39,97.40%
德甲,不来梅,奥格斯,0,3,1.08,半球,0.85,2.04,3.5,3.6,94.90%
德甲,斯图加,弗赖堡,3,0,0.87,半球,1.06,1.85,3.6,4.33,95.30%
意甲,克罗托,佛罗伦,2,1,1.109,受半球/一球,0.82,5.5,4,1.57,93.60%
意甲,士柏,热那亚,1,0,1.189,平手,0.76,3.1,3.1,2.45,94.90%
意甲,那不勒,萨索洛,3,1,1.009,两球/两球半,0.919,1.14,9,15,94.80%
意甲,桑普多,切沃,4,1,1.174,半球,0.77,2.14,3.39,3.5,95.40%
意甲,乌迪内,亚特兰,2,1,0.889,受半球,1.04,3.79,3.5,2,95.30%
意甲,都灵,卡利亚,2,1,0.98,一球,0.95,1.55,4.33,5.75,95.20%
西甲,马拉加,塞尔塔,2,1,0.86,受平手/半球,1.069,3,3.5,2.29,94.70%
西甲,赫罗纳,皇马,2,1,0.97,受两球,0.96,12,7,1.22,95.60%
西甲,埃瓦尔,莱万特,2,2,0.99,半球,0.94,2,3.25,4.2,95.60%
法甲,里昂,梅斯,2,0,0.94,两球/两球半,0.99,1.18,7.5,15,95.50%
法甲,图卢兹,埃蒂安,0,0,1.06,平手/半球,0.87,2.29,3.1,3.39,94.90%
法甲,里尔,马赛,0,1,0.84,受平手/半球,1.089,3.25,3.5,2.2,95.40%
英超,阿森纳,斯旺西,2,1,1.04,两球/两球半,0.75,1.19,8,15,96.90%
英超,水晶宫,西汉姆,2,2,1.16,平手/半球,0.78,2.54,3.2,3.1,97.20%
英超,利物浦,哈德斯,3,0,0.86,球半/两球,1.069,1.25,6.5,14,97.50%
英超,沃特福,斯托克,0,1,1.02,半球,0.909,2,3.6,4,97.30%
英超,西布罗,曼城,2,3,0.899,受球半/两球,1.029,12,6.25,1.28,97.60%
